Ranking Week,Rank,Name,Country,Points,Tournaments,Member ID
7/13/2021,2,Viktor AXELSEN,DEN,98486,23,25831
7/13/2021,3,Anders ANTONSEN,DEN,94875,24,91554
7/13/2021,4,CHOU Tien Chen,TPE,89828,25,34810
7/13/2021,5,Anthony Sinisuka GINTING,INA,82182,23,95661
7/13/2021,6,CHEN Long,CHN,78440,17,75787
7/13/2021,7,Jonatan CHRISTIE,INA,74770,23,73442
7/13/2021,8,LEE Zii Jia,MAS,69389,25,81561
7/13/2021,9,NG Ka Long Angus,HKG,69270,24,45171
7/13/2021,10,WANG Tzu Wei,TPE,63393,32,87375
7/13/2021,11,SHI Yu Qi,CHN,62061,13,57945
7/13/2021,12,Rasmus GEMKE,DEN,61070,26,62855
7/13/2021,13,Kanta TSUNEYAMA,JPN,58405,23,57823
7/13/2021,14,KIDAMBI Srikanth,IND,56499,26,93627
7/13/2021,15,SAI PRANEETH B.,IND,56467,22,42776
7/13/2021,16,Kenta NISHIMOTO,JPN,54233,24,85394
7/13/2021,17,LEE Cheuk Yiu,HKG,53961,23,94780
7/13/2021,18,Kantaphon WANGCHAROEN,THA,53571,28,92508
7/13/2021,19,Shesar Hiren RHUSTAVITO,INA,50630,24,81887
7/13/2021,20,Hans-Kristian Solberg VITTINGHUS,DEN,50108,23,53753
7/13/2021,21,LIN Dan,CHN,47670,20,50906
7/13/2021,22,Jan O JORGENSEN,DEN,47664,17,54431
7/13/2021,23,Lakshya SEN,IND,46597,23,68870
7/13/2021,24,Kunlavut VITIDSARN,THA,46348,22,64032
7/13/2021,25,Sitthikom THAMMASIN,THA,46257,23,58963
7/13/2021,26,LU Guang Zu,CHN,45869,19,77427
7/13/2021,27,Sameer VERMA,IND,45319,25,77003
7/13/2021,28,HUANG Yu Xiang,CHN,45000,17,71261
7/13/2021,29,Mark CALJOUW,NED,44619,28,76973
7/13/2021,30,PRANNOY H. S.,IND,43535,26,83950
7/13/2021,31,PARUPALLI Kashyap,IND,43440,25,53944
7/13/2021,32,Tommy SUGIARTO,INA,42400,18,14587
7/13/2021,33,Toma Junior POPOV,FRA,40958,23,61628
7/13/2021,34,LIEW Daren,MAS,40250,22,52864
7/13/2021,35,Sourabh VERMA,IND,40169,21,25925
7/13/2021,36,Brice LEVERDEZ,FRA,39804,30,52968
7/13/2021,37,Khosit PHETPRADAB,THA,39793,23,29449
7/13/2021,38,HEO Kwang Hee,KOR,38057,23,68718
7/13/2021,39,ZHAO Jun Peng,CHN,37395,14,95930
7/13/2021,40,Thomas ROUXEL,FRA,37137,26,38500
7/13/2021,41,Koki WATANABE,JPN,37126,15,97174
7/13/2021,42,LOH Kean Yew,SGP,36684,17,76115
7/13/2021,43,Tanongsak SAENSOMBOONSUK,THA,36460,17,54513
7/13/2021,44,Brian YANG,CAN,35188,31,63122
7/13/2021,45,Jason Anthony HO-SHUE,CAN,34990,30,93791
7/13/2021,46,WONG Wing Ki Vincent,HKG,34050,17,55280
7/13/2021,47,Misha ZILBERMAN,ISR,33774,26,52953
7/13/2021,48,SUN Fei Xiang,CHN,33690,15,57762
7/13/2021,49,Ygor COELHO,BRA,33109,26,96429
7/13/2021,50,Kodai NARAOKA,JPN,32787,13,62063
7/13/2021,51,Pablo ABIAN,ESP,32780,32,14251
7/13/2021,52,Suppanyu AVIHINGSANON,THA,32486,21,46874
7/13/2021,53,Subhankar DEY,IND,31905,18,60967
7/13/2021,54,Nhat NGUYEN,IRL,31797,25,85095
7/13/2021,55,LEE Dong Keun,KOR,30835,16,64933
7/13/2021,56,Toby PENTY,ENG,30289,20,88523
7/13/2021,57,Felix BURESTEDT,SWE,30201,22,83985
7/13/2021,58,Max WEISSKIRCHEN,GER,30043,24,84815
7/13/2021,59,Kevin CORDON,GUA,29232,16,54897
7/13/2021,60,Tien Minh NGUYEN,VIE,28955,16,14107
7/13/2021,61,Ajay JAYARAM,IND,28810,19,55351
7/13/2021,62,Victor SVENDSEN,DEN,27370,18,59420
7/13/2021,63,Chico Aura DWI WARDOYO,INA,27370,15,71408
7/13/2021,64,LI Shi Feng,CHN,27340,12,95476
7/13/2021,65,Xiaodong SHENG,CAN,27050,20,77143
7/13/2021,66,Luís Enrique PEÑALVER,ESP,26860,31,71221
7/13/2021,67,SON Wan Ho,KOR,26635,10,54346
7/13/2021,68,CHEAM June Wei,MAS,26190,17,92796
7/13/2021,69,Lino MUNOZ,MEX,25669,22,96461
7/13/2021,70,Kalle KOLJONEN,FIN,25142,25,92655
7/13/2021,71,Mads CHRISTOPHERSEN,DEN,25000,17,83938
7/13/2021,72,Christo POPOV,FRA,24817,16,72885
7/13/2021,73,SOONG Joo Ven,MAS,24757,13,87117
7/13/2021,74,Kai SCHAEFER,GER,24680,31,20808
7/13/2021,75,LIN Yu Hsien,TPE,24460,13,91665
7/13/2021,76,Lucas CLAERBOUT,FRA,23974,25,89506
7/13/2021,77,Sergey SIRANT,RUS,23914,25,93878
7/13/2021,78,Lucas CORVEE,FRA,23890,18,89416
7/13/2021,79,LIN Chun-Yi,TPE,23600,11,86114
7/13/2021,80,Ade Resky DWICAHYO,AZE,23276,25,78890
7/13/2021,81,Vladimir MALKOV,RUS,22695,22,51682
7/13/2021,82,Ditlev Jaeger HOLM,DEN,22590,15,90130
7/13/2021,83,B. R. Sankeerth,CAN,22240,37,61819
7/13/2021,84,Georges Julien PAUL,MRI,21459,19,64839
7/13/2021,85,Joran KWEEKEL,NED,21218,23,62286
7/13/2021,86,Eetu HEINO,FIN,21110,22,54484
7/13/2021,87,Luka WRABER,AUT,21018,30,56274
7/13/2021,88,Timothy LAM,USA,20869,27,80787
7/13/2021,89,Iskandar ZULKARNAIN,MAS,20660,11,31871
7/13/2021,90,Kim BRUUN,DEN,20630,18,96545
7/13/2021,91,NG Tze Yong,MAS,20600,9,81362
7/13/2021,92,Raul MUST,EST,20543,20,51531
7/13/2021,93,Abhinav MANOTA,NZL,20507,20,58628
7/13/2021,94,Gergely KRAUSZ,HUN,20220,29,56755
7/13/2021,95,Arnaud MERKLE,FRA,19915,19,59543
7/13/2021,96,Maxime MOREELS,BEL,19826,35,25625
7/13/2021,97,LU Chia Hung,TPE,19760,14,91254
7/13/2021,98,Artem POCHTAROV,UKR,19625,21,20301
7/13/2021,99,Osleni GUERRERO,CUB,19150,12,52364
7/6/2021,1,Kento MOMOTA,JPN,109118,15,89785
7/6/2021,2,Viktor AXELSEN,DEN,98486,23,25831
7/6/2021,3,Anders ANTONSEN,DEN,94875,24,91554
7/6/2021,4,CHOU Tien Chen,TPE,89828,25,34810
7/6/2021,5,Anthony Sinisuka GINTING,INA,82182,23,95661
7/6/2021,6,CHEN Long,CHN,78440,17,75787
7/6/2021,7,Jonatan CHRISTIE,INA,74770,23,73442
7/6/2021,8,LEE Zii Jia,MAS,69389,25,81561
7/6/2021,9,NG Ka Long Angus,HKG,69270,24,45171
7/6/2021,10,WANG Tzu Wei,TPE,63393,32,87375
7/6/2021,11,SHI Yu Qi,CHN,62061,13,57945
7/6/2021,12,Rasmus GEMKE,DEN,61070,26,62855
7/6/2021,13,Kanta TSUNEYAMA,JPN,58405,23,57823
7/6/2021,14,KIDAMBI Srikanth,IND,56499,26,93627
7/6/2021,15,SAI PRANEETH B.,IND,56467,22,42776
7/6/2021,16,Kenta NISHIMOTO,JPN,54233,24,85394
7/6/2021,17,LEE Cheuk Yiu,HKG,53961,23,94780
7/6/2021,18,Kantaphon WANGCHAROEN,THA,53571,28,92508
7/6/2021,19,Shesar Hiren RHUSTAVITO,INA,50630,24,81887
7/6/2021,20,Hans-Kristian Solberg VITTINGHUS,DEN,50108,23,53753
7/6/2021,21,LIN Dan,CHN,47670,20,50906
7/6/2021,22,Jan O JORGENSEN,DEN,47664,17,54431
7/6/2021,23,Lakshya SEN,IND,46597,23,68870
7/6/2021,24,Kunlavut VITIDSARN,THA,46348,22,64032
7/6/2021,25,Sitthikom THAMMASIN,THA,46257,23,58963
7/6/2021,26,LU Guang Zu,CHN,45869,19,77427
7/6/2021,27,Sameer VERMA,IND,45319,25,77003
7/6/2021,28,HUANG Yu Xiang,CHN,45000,17,71261
7/6/2021,29,Mark CALJOUW,NED,44619,28,76973
7/6/2021,30,PRANNOY H. S.,IND,43535,26,83950
7/6/2021,31,PARUPALLI Kashyap,IND,43440,25,53944
7/6/2021,32,Tommy SUGIARTO,INA,42400,18,14587
7/6/2021,33,Toma Junior POPOV,FRA,40958,23,61628
7/6/2021,34,LIEW Daren,MAS,40250,22,52864
7/6/2021,35,Sourabh VERMA,IND,40169,21,25925
7/6/2021,36,Brice LEVERDEZ,FRA,39804,30,52968
7/6/2021,37,Khosit PHETPRADAB,THA,39793,23,29449
7/6/2021,38,HEO Kwang Hee,KOR,38057,23,68718
7/6/2021,39,ZHAO Jun Peng,CHN,37395,14,95930
7/6/2021,40,Thomas ROUXEL,FRA,37137,26,38500
7/6/2021,41,Koki WATANABE,JPN,37126,15,97174
7/6/2021,42,LOH Kean Yew,SGP,36684,17,76115
7/6/2021,43,Tanongsak SAENSOMBOONSUK,THA,36460,17,54513
7/6/2021,44,Brian YANG,CAN,35188,31,63122
7/6/2021,45,Jason Anthony HO-SHUE,CAN,34990,30,93791
7/6/2021,46,WONG Wing Ki Vincent,HKG,34050,17,55280
7/6/2021,47,Misha ZILBERMAN,ISR,33774,26,52953
7/6/2021,48,SUN Fei Xiang,CHN,33690,15,57762
7/6/2021,49,Ygor COELHO,BRA,33109,26,96429
7/6/2021,50,Kodai NARAOKA,JPN,32787,13,62063
7/6/2021,51,Pablo ABIAN,ESP,32780,32,14251
7/6/2021,52,Suppanyu AVIHINGSANON,THA,32486,21,46874
7/6/2021,53,Subhankar DEY,IND,31905,18,60967
7/6/2021,54,Nhat NGUYEN,IRL,31797,25,85095
7/6/2021,55,LEE Dong Keun,KOR,30835,16,64933
7/6/2021,56,Toby PENTY,ENG,30289,20,88523
7/6/2021,57,Felix BURESTEDT,SWE,30201,22,83985
7/6/2021,58,Max WEISSKIRCHEN,GER,30043,24,84815
7/6/2021,59,Kevin CORDON,GUA,29232,16,54897
7/6/2021,60,Tien Minh NGUYEN,VIE,28955,16,14107
7/6/2021,61,Ajay JAYARAM,IND,28810,19,55351
7/6/2021,62,Victor SVENDSEN,DEN,27370,18,59420
7/6/2021,63,Chico Aura DWI WARDOYO,INA,27370,15,71408
7/6/2021,64,LI Shi Feng,CHN,27340,12,95476
7/6/2021,65,Xiaodong SHENG,CAN,27050,20,77143
7/6/2021,66,Luís Enrique PEÑALVER,ESP,26860,31,71221
7/6/2021,67,SON Wan Ho,KOR,26635,10,54346
7/6/2021,68,CHEAM June Wei,MAS,26190,17,92796
7/6/2021,69,Lino MUNOZ,MEX,25669,22,96461
7/6/2021,70,Kalle KOLJONEN,FIN,25142,25,92655
7/6/2021,71,Mads CHRISTOPHERSEN,DEN,25000,17,83938
7/6/2021,72,Christo POPOV,FRA,24817,16,72885
7/6/2021,73,SOONG Joo Ven,MAS,24757,13,87117
7/6/2021,74,Kai SCHAEFER,GER,24680,31,20808
7/6/2021,75,LIN Yu Hsien,TPE,24460,13,91665
7/6/2021,76,Lucas CLAERBOUT,FRA,23974,25,89506
7/6/2021,77,Sergey SIRANT,RUS,23914,25,93878
7/6/2021,78,Lucas CORVEE,FRA,23890,18,89416
7/6/2021,79,LIN Chun-Yi,TPE,23600,11,86114
7/6/2021,80,Ade Resky DWICAHYO,AZE,23276,25,78890
7/6/2021,81,Vladimir MALKOV,RUS,22695,22,51682
7/6/2021,82,Ditlev Jaeger HOLM,DEN,22590,15,90130
7/6/2021,83,B. R. Sankeerth,CAN,22240,37,61819
7/6/2021,84,Georges Julien PAUL,MRI,21459,19,64839
7/6/2021,85,Joran KWEEKEL,NED,21218,23,62286
7/6/2021,86,Eetu HEINO,FIN,21110,22,54484
7/6/2021,87,Luka WRABER,AUT,21018,30,56274
7/6/2021,88,Timothy LAM,USA,20869,27,80787
7/6/2021,89,Iskandar ZULKARNAIN,MAS,20660,11,31871
7/6/2021,90,Kim BRUUN,DEN,20630,18,96545
7/6/2021,91,NG Tze Yong,MAS,20600,9,81362
7/6/2021,92,Raul MUST,EST,20543,20,51531
7/6/2021,93,Abhinav MANOTA,NZL,20507,20,58628
7/6/2021,94,Gergely KRAUSZ,HUN,20220,29,56755
7/6/2021,95,Arnaud MERKLE,FRA,19915,19,59543
7/6/2021,96,Maxime MOREELS,BEL,19826,35,25625
7/6/2021,97,LU Chia Hung,TPE,19760,14,91254
7/6/2021,98,Artem POCHTAROV,UKR,19625,21,20301
7/6/2021,99,Osleni GUERRERO,CUB,19150,12,52364
6/29/2021,1,Kento MOMOTA,JPN,109118,15,89785
6/29/2021,2,Viktor AXELSEN,DEN,98486,23,25831
6/29/2021,3,Anders ANTONSEN,DEN,94875,24,91554
6/29/2021,4,CHOU Tien Chen,TPE,89828,25,34810
6/29/2021,5,Anthony Sinisuka GINTING,INA,82182,23,95661
6/29/2021,6,CHEN Long,CHN,78440,17,75787
6/29/2021,7,Jonatan CHRISTIE,INA,74770,23,73442
6/29/2021,8,LEE Zii Jia,MAS,69389,25,81561
6/29/2021,9,NG Ka Long Angus,HKG,69270,24,45171
6/29/2021,10,WANG Tzu Wei,TPE,63393,32,87375
6/29/2021,11,SHI Yu Qi,CHN,62061,13,57945
6/29/2021,12,Rasmus GEMKE,DEN,61070,26,62855
6/29/2021,13,Kanta TSUNEYAMA,JPN,58405,23,57823
6/29/2021,14,KIDAMBI Srikanth,IND,56499,26,93627
6/29/2021,15,SAI PRANEETH B.,IND,56467,22,42776
6/29/2021,16,Kenta NISHIMOTO,JPN,54233,24,85394
6/29/2021,17,LEE Cheuk Yiu,HKG,53961,23,94780
6/29/2021,18,Kantaphon WANGCHAROEN,THA,53571,28,92508
6/29/2021,19,Shesar Hiren RHUSTAVITO,INA,50630,24,81887
6/29/2021,20,Hans-Kristian Solberg VITTINGHUS,DEN,50108,23,53753
6/29/2021,21,LIN Dan,CHN,47670,20,50906
6/29/2021,22,Jan O JORGENSEN,DEN,47664,17,54431
6/29/2021,23,Lakshya SEN,IND,46597,23,68870
6/29/2021,24,Kunlavut VITIDSARN,THA,46348,22,64032
6/29/2021,25,Sitthikom THAMMASIN,THA,46257,23,58963
6/29/2021,26,LU Guang Zu,CHN,45869,19,77427
6/29/2021,27,Sameer VERMA,IND,45319,25,77003
6/29/2021,28,HUANG Yu Xiang,CHN,45000,17,71261
6/29/2021,29,Mark CALJOUW,NED,44619,28,76973
6/29/2021,30,PRANNOY H. S.,IND,43535,26,83950
6/29/2021,31,PARUPALLI Kashyap,IND,43440,25,53944
6/29/2021,32,Tommy SUGIARTO,INA,42400,18,14587
6/29/2021,33,Toma Junior POPOV,FRA,40958,23,61628
6/29/2021,34,LIEW Daren,MAS,40250,22,52864
6/29/2021,35,Sourabh VERMA,IND,40169,21,25925
6/29/2021,36,Brice LEVERDEZ,FRA,39804,30,52968
6/29/2021,37,Khosit PHETPRADAB,THA,39793,23,29449
6/29/2021,38,HEO Kwang Hee,KOR,38057,23,68718
6/29/2021,39,ZHAO Jun Peng,CHN,37395,14,95930
6/29/2021,40,Thomas ROUXEL,FRA,37137,26,38500
6/29/2021,41,Koki WATANABE,JPN,37126,15,97174
6/29/2021,42,LOH Kean Yew,SGP,36684,17,76115
6/29/2021,43,Tanongsak SAENSOMBOONSUK,THA,36460,17,54513
6/29/2021,44,Brian YANG,CAN,35188,31,63122
6/29/2021,45,Jason Anthony HO-SHUE,CAN,34990,30,93791
6/29/2021,46,WONG Wing Ki Vincent,HKG,34050,17,55280
6/29/2021,47,Misha ZILBERMAN,ISR,33774,26,52953
6/29/2021,48,SUN Fei Xiang,CHN,33690,15,57762
6/29/2021,49,Ygor COELHO,BRA,33109,26,96429
6/29/2021,50,Kodai NARAOKA,JPN,32787,13,62063
6/29/2021,51,Pablo ABIAN,ESP,32780,32,14251
6/29/2021,52,Suppanyu AVIHINGSANON,THA,32486,21,46874
6/29/2021,53,Subhankar DEY,IND,31905,18,60967
6/29/2021,54,Nhat NGUYEN,IRL,31797,25,85095
6/29/2021,55,LEE Dong Keun,KOR,30835,16,64933
6/29/2021,56,Toby PENTY,ENG,30289,20,88523
6/29/2021,57,Felix BURESTEDT,SWE,30201,22,83985
6/29/2021,58,Max WEISSKIRCHEN,GER,30043,24,84815
6/29/2021,59,Kevin CORDON,GUA,29232,16,54897
6/29/2021,60,Tien Minh NGUYEN,VIE,28955,16,14107
6/29/2021,61,Ajay JAYARAM,IND,28810,19,55351
6/29/2021,62,Victor SVENDSEN,DEN,27370,18,59420
6/29/2021,63,Chico Aura DWI WARDOYO,INA,27370,15,71408
6/29/2021,64,LI Shi Feng,CHN,27340,12,95476
6/29/2021,65,Xiaodong SHENG,CAN,27050,20,77143
6/29/2021,66,Luís Enrique PEÑALVER,ESP,26860,31,71221
6/29/2021,67,SON Wan Ho,KOR,26635,10,54346
6/29/2021,68,CHEAM June Wei,MAS,26190,17,92796
6/29/2021,69,Lino MUNOZ,MEX,25669,22,96461
6/29/2021,70,Kalle KOLJONEN,FIN,25142,25,92655
6/29/2021,71,Mads CHRISTOPHERSEN,DEN,25000,17,83938
6/29/2021,72,Christo POPOV,FRA,24817,16,72885
6/29/2021,73,SOONG Joo Ven,MAS,24757,13,87117
6/29/2021,74,Kai SCHAEFER,GER,24680,31,20808
6/29/2021,75,LIN Yu Hsien,TPE,24460,13,91665
6/29/2021,76,Lucas CLAERBOUT,FRA,23974,25,89506
6/29/2021,77,Sergey SIRANT,RUS,23914,25,93878
6/29/2021,78,Lucas CORVEE,FRA,23890,18,89416
6/29/2021,79,LIN Chun-Yi,TPE,23600,11,86114
6/29/2021,80,Ade Resky DWICAHYO,AZE,23276,25,78890
6/29/2021,81,Vladimir MALKOV,RUS,22695,22,51682
6/29/2021,82,Ditlev Jaeger HOLM,DEN,22590,15,90130
6/29/2021,83,B. R. Sankeerth,CAN,22240,37,61819
6/29/2021,84,Georges Julien PAUL,MRI,21459,19,64839
6/29/2021,85,Joran KWEEKEL,NED,21218,23,62286
6/29/2021,86,Eetu HEINO,FIN,21110,22,54484
6/29/2021,87,Luka WRABER,AUT,21018,30,56274
6/29/2021,88,Timothy LAM,USA,20869,27,80787
6/29/2021,89,Iskandar ZULKARNAIN,MAS,20660,11,31871
6/29/2021,90,Kim BRUUN,DEN,20630,18,96545
6/29/2021,91,NG Tze Yong,MAS,20600,9,81362
6/29/2021,92,Raul MUST,EST,20543,20,51531
6/29/2021,93,Abhinav MANOTA,NZL,20507,20,58628
6/29/2021,94,Gergely KRAUSZ,HUN,20220,29,56755
6/29/2021,95,Arnaud MERKLE,FRA,19915,19,59543
6/29/2021,96,Maxime MOREELS,BEL,19826,35,25625
6/29/2021,97,LU Chia Hung,TPE,19760,14,91254
6/29/2021,98,Artem POCHTAROV,UKR,19625,21,20301
6/29/2021,99,Osleni GUERRERO,CUB,19150,12,52364
6/22/2021,1,Kento MOMOTA,JPN,109118,15,89785
6/22/2021,2,Viktor AXELSEN,DEN,98486,23,25831
6/22/2021,3,Anders ANTONSEN,DEN,94875,24,91554
6/22/2021,4,CHOU Tien Chen,TPE,89828,25,34810
6/22/2021,5,Anthony Sinisuka GINTING,INA,82182,23,95661
6/22/2021,6,CHEN Long,CHN,78440,17,75787
6/22/2021,7,Jonatan CHRISTIE,INA,74770,23,73442
6/22/2021,8,LEE Zii Jia,MAS,69389,25,81561
6/22/2021,9,NG Ka Long Angus,HKG,69270,24,45171
6/22/2021,10,WANG Tzu Wei,TPE,63393,32,87375
6/22/2021,11,SHI Yu Qi,CHN,62061,13,57945
6/22/2021,12,Rasmus GEMKE,DEN,61070,26,62855
6/22/2021,13,Kanta TSUNEYAMA,JPN,58405,23,57823
6/22/2021,14,KIDAMBI Srikanth,IND,56499,26,93627
6/22/2021,15,SAI PRANEETH B.,IND,56467,22,42776
6/22/2021,16,Kenta NISHIMOTO,JPN,54233,24,85394
6/22/2021,17,LEE Cheuk Yiu,HKG,53961,23,94780
6/22/2021,18,Kantaphon WANGCHAROEN,THA,53571,28,92508
6/22/2021,19,Shesar Hiren RHUSTAVITO,INA,50630,24,81887
6/22/2021,20,Hans-Kristian Solberg VITTINGHUS,DEN,50108,23,53753
6/22/2021,21,LIN Dan,CHN,47670,20,50906
6/22/2021,22,Jan O JORGENSEN,DEN,47664,17,54431
6/22/2021,23,Lakshya SEN,IND,46597,23,68870
6/22/2021,24,Kunlavut VITIDSARN,THA,46348,22,64032
6/22/2021,25,Sitthikom THAMMASIN,THA,46257,23,58963
6/22/2021,26,LU Guang Zu,CHN,45869,19,77427
6/22/2021,27,Sameer VERMA,IND,45319,25,77003
6/22/2021,28,HUANG Yu Xiang,CHN,45000,17,71261
6/22/2021,29,Mark CALJOUW,NED,44619,28,76973
6/22/2021,30,PRANNOY H. S.,IND,43535,26,83950
6/22/2021,31,PARUPALLI Kashyap,IND,43440,25,53944
6/22/2021,32,Tommy SUGIARTO,INA,42400,18,14587
6/22/2021,33,Toma Junior POPOV,FRA,40958,23,61628
6/22/2021,34,LIEW Daren,MAS,40250,22,52864
6/22/2021,35,Sourabh VERMA,IND,40169,21,25925
6/22/2021,36,Brice LEVERDEZ,FRA,39804,30,52968
6/22/2021,37,Khosit PHETPRADAB,THA,39793,23,29449
6/22/2021,38,HEO Kwang Hee,KOR,38057,23,68718
6/22/2021,39,ZHAO Jun Peng,CHN,37395,14,95930
6/22/2021,40,Thomas ROUXEL,FRA,37137,26,38500
6/22/2021,41,Koki WATANABE,JPN,37126,15,97174
6/22/2021,42,LOH Kean Yew,SGP,36684,17,76115
6/22/2021,43,Tanongsak SAENSOMBOONSUK,THA,36460,17,54513
6/22/2021,44,Brian YANG,CAN,35188,31,63122
6/22/2021,45,Jason Anthony HO-SHUE,CAN,34990,30,93791
6/22/2021,46,WONG Wing Ki Vincent,HKG,34050,17,55280
6/22/2021,47,Misha ZILBERMAN,ISR,33774,26,52953
6/22/2021,48,SUN Fei Xiang,CHN,33690,15,57762
6/22/2021,49,Ygor COELHO,BRA,33109,26,96429
6/22/2021,50,Kodai NARAOKA,JPN,32787,13,62063
6/22/2021,51,Pablo ABIAN,ESP,32780,32,14251
6/22/2021,52,Suppanyu AVIHINGSANON,THA,32486,21,46874
6/22/2021,53,Subhankar DEY,IND,31905,18,60967
6/22/2021,54,Nhat NGUYEN,IRL,31797,25,85095
6/22/2021,55,LEE Dong Keun,KOR,30835,16,64933
6/22/2021,56,Toby PENTY,ENG,30289,20,88523
6/22/2021,57,Felix BURESTEDT,SWE,30201,22,83985
6/22/2021,58,Max WEISSKIRCHEN,GER,30043,24,84815
6/22/2021,59,Kevin CORDON,GUA,29232,16,54897
6/22/2021,60,Tien Minh NGUYEN,VIE,28955,16,14107
6/22/2021,61,Ajay JAYARAM,IND,28810,19,55351
6/22/2021,62,Victor SVENDSEN,DEN,27370,18,59420
6/22/2021,63,Chico Aura DWI WARDOYO,INA,27370,15,71408
6/22/2021,64,LI Shi Feng,CHN,27340,12,95476
6/22/2021,65,Xiaodong SHENG,CAN,27050,20,77143
6/22/2021,66,Luís Enrique PEÑALVER,ESP,26860,31,71221
6/22/2021,67,SON Wan Ho,KOR,26635,10,54346
6/22/2021,68,CHEAM June Wei,MAS,26190,17,92796
6/22/2021,69,Lino MUNOZ,MEX,25669,22,96461
6/22/2021,70,Kalle KOLJONEN,FIN,25142,25,92655
6/22/2021,71,Mads CHRISTOPHERSEN,DEN,25000,17,83938
6/22/2021,72,Christo POPOV,FRA,24817,16,72885
6/22/2021,73,SOONG Joo Ven,MAS,24757,13,87117
6/22/2021,74,Kai SCHAEFER,GER,24680,31,20808
6/22/2021,75,LIN Yu Hsien,TPE,24460,13,91665
6/22/2021,76,Lucas CLAERBOUT,FRA,23974,25,89506
6/22/2021,77,Sergey SIRANT,RUS,23914,25,93878
6/22/2021,78,Lucas CORVEE,FRA,23890,18,89416
6/22/2021,79,LIN Chun-Yi,TPE,23600,11,86114
6/22/2021,80,Ade Resky DWICAHYO,AZE,23276,25,78890
6/22/2021,81,Vladimir MALKOV,RUS,22695,22,51682
6/22/2021,82,Ditlev Jaeger HOLM,DEN,22590,15,90130
6/22/2021,83,B. R. Sankeerth,CAN,22240,37,61819
6/22/2021,84,Georges Julien PAUL,MRI,21459,19,64839
6/22/2021,85,Joran KWEEKEL,NED,21218,23,62286
6/22/2021,86,Eetu HEINO,FIN,21110,22,54484
6/22/2021,87,Luka WRABER,AUT,21018,30,56274
6/22/2021,88,Timothy LAM,USA,20869,27,80787
6/22/2021,89,Iskandar ZULKARNAIN,MAS,20660,11,31871
6/22/2021,90,Kim BRUUN,DEN,20630,18,96545
6/22/2021,91,NG Tze Yong,MAS,20600,9,81362
6/22/2021,92,Raul MUST,EST,20543,20,51531
6/22/2021,93,Abhinav MANOTA,NZL,20507,20,58628
6/22/2021,94,Gergely KRAUSZ,HUN,20220,29,56755
6/22/2021,95,Arnaud MERKLE,FRA,19915,19,59543
6/22/2021,96,Maxime MOREELS,BEL,19826,35,25625
6/22/2021,97,LU Chia Hung,TPE,19760,14,91254
6/22/2021,98,Artem POCHTAROV,UKR,19625,21,20301
6/22/2021,99,Osleni GUERRERO,CUB,19150,12,52364
6/15/2021,1,Kento MOMOTA,JPN,109118,15,89785
6/15/2021,2,Viktor AXELSEN,DEN,98486,23,25831
6/15/2021,3,Anders ANTONSEN,DEN,94875,24,91554
6/15/2021,4,CHOU Tien Chen,TPE,89828,25,34810
6/15/2021,5,Anthony Sinisuka GINTING,INA,82182,23,95661
6/15/2021,6,CHEN Long,CHN,78440,17,75787
6/15/2021,7,Jonatan CHRISTIE,INA,74770,23,73442
6/15/2021,8,LEE Zii Jia,MAS,69389,25,81561
6/15/2021,9,NG Ka Long Angus,HKG,69270,24,45171
6/15/2021,10,WANG Tzu Wei,TPE,63393,32,87375
6/15/2021,11,SHI Yu Qi,CHN,62061,13,57945
6/15/2021,12,Rasmus GEMKE,DEN,61070,26,62855
6/15/2021,13,Kanta TSUNEYAMA,JPN,58405,23,57823
6/15/2021,14,KIDAMBI Srikanth,IND,56499,26,93627
6/15/2021,15,SAI PRANEETH B.,IND,56467,22,42776
6/15/2021,16,Kenta NISHIMOTO,JPN,54233,24,85394
6/15/2021,17,LEE Cheuk Yiu,HKG,53961,23,94780
6/15/2021,18,Kantaphon WANGCHAROEN,THA,53571,28,92508
6/15/2021,19,Shesar Hiren RHUSTAVITO,INA,50630,24,81887
6/15/2021,20,Hans-Kristian Solberg VITTINGHUS,DEN,50108,23,53753
6/15/2021,21,LIN Dan,CHN,47670,20,50906
6/15/2021,22,Jan O JORGENSEN,DEN,47664,17,54431
6/15/2021,23,Lakshya SEN,IND,46597,23,68870
6/15/2021,24,Kunlavut VITIDSARN,THA,46348,22,64032
6/15/2021,25,Sitthikom THAMMASIN,THA,46257,23,58963
6/15/2021,26,LU Guang Zu,CHN,45869,19,77427
6/15/2021,27,Sameer VERMA,IND,45319,25,77003
6/15/2021,28,HUANG Yu Xiang,CHN,45000,17,71261
6/15/2021,29,Mark CALJOUW,NED,44619,28,76973
6/15/2021,30,PRANNOY H. S.,IND,43535,26,83950
6/15/2021,31,PARUPALLI Kashyap,IND,43440,25,53944
6/15/2021,32,Tommy SUGIARTO,INA,42400,18,14587
6/15/2021,33,Toma Junior POPOV,FRA,40958,23,61628
6/15/2021,34,LIEW Daren,MAS,40250,22,52864
6/15/2021,35,Sourabh VERMA,IND,40169,21,25925
6/15/2021,36,Brice LEVERDEZ,FRA,39804,30,52968
6/15/2021,37,Khosit PHETPRADAB,THA,39793,23,29449
6/15/2021,38,HEO Kwang Hee,KOR,38057,23,68718
6/15/2021,39,ZHAO Jun Peng,CHN,37395,14,95930
